1960 88296070.000000
1961 90791249.000000
1962 93375850.000000
1963 96051424.000000
1964 98833749.000000
1965 101365130.000000
1966 103792754.000000
1967 106526393.000000
1968 109450006.000000
1969 112517639.000000
1970 115657495.000000
1971 118833702.000000
1972 122039841.000000
1973 125288515.000000
1974 128555045.000000
1975 131843848.000000
1976 135173655.000000
1977 138533541.000000
1978 141953163.000000
1979 145434834.000000
1980 148950540.000000
1981 152485035.000000
1982 156052152.000000
1983 159651381.000000
1984 163251124.000000
1985 166776185.000000
1986 170175065.000000
1987 173511154.000000
1988 176855065.000000
1989 180201630.000000
1990 183501098.000000
1991 186778238.000000
1992 190043744.000000
1993 193305168.000000
1994 196591828.000000
1995 199888057.000000
1996 203204348.000000
1997 206536095.000000
1998 209826788.000000
1999 213004668.000000
2000 216077790.000000
2001 219097902.000000
2002 222088495.000000
2003 225048008.000000
2004 227926649.000000
2007 237062337.000000
2008 240157903.000000
2009 243220028.000000
2010 246305322.000000
2011 249470032.000000
2012 252698525.000000
2013 255852467.000000
2014 258877399.000000
2017 267346658.000000
2018 269951846.000000
2019 272489381.000000
2020 274814866.000000
2021 276758053.000000
2022 278830529.000000
2023 281190067.000000
